x = |10085274,10085309>
x = |10273308,10273336>
x = |10273810,10273835>
x = |10274261,10274297>
x = |10274261,10274299>
x = |10345677,10345704>
x = |10345677,10345713>
x = |10346029,10346049>
x = |10346696,10346722>
x = |10346739,10346764>
x = |10346739,10346776>
x = |10346861,10346888>
x = |10346902,10346931>
x = |10347064,10347090>
x = |10347666,10347692>
x = |12623905,12623937>
x = |12695627,12695662>
x = |12695925,12695948>
x = |12696040,12696071>
x = |12970086,12970106>
x = |12975709,12975729>
x = |13677909,13677943>
x = |13688165,13688190>
x = |13839036,13839061>
x = |13839117,13839142>
x = |13839117,13839155>
x = |13839476,13839501>
x = |13839557,13839582>
x = |13839557,13839595>
x = |13839916,13839941>
x = |13839997,13840022>
x = |13839997,13840035>
x = |14827433,14827457>
x = |14827433,14827461>
x = |14828172,14828194>
x = |14829455,14829492>
x = |14830987,14831024>
x = |14858808,14858846>
x = |14925023,14925059>
x = |14925651,14925676>
x = |14926021,14926047>
x = |14926186,14926213>
x = |14926227,14926256>
x = |14926388,14926414>
x = |14927268,14927306>
x = |14927308,14927346>
x = |14927390,14927415>
x = |14927390,14927427>
x = |15304918,15304940>
x = |15304918,15304950>
x = |15479927,15479952>
x = |16220347,16220379>
x = |16224909,16224941>
x = |16545321,16545348>
x = |1669592,1669620>
x = |1670469,1670497>
x = |1671343,1671371>
x = |1672206,1672234>
x = |1673062,1673090>
x = |17175763,17175801>
x = |17445331,17445366>
x = |17445331,17445369>
x = |1827067,1827103>
x = |1827223,1827257>
x = |18369998,18370023>
x = |20002586,20002624>
x = |20002701,20002726>
x = |2070742,2070760>
x = |2070826,2070852>
x = |2070869,2070894>
x = |2070910,2070935>
x = |2070991,2071018>
x = |2071032,2071061>
x = |2071191,2071217>
x = |2072193,2072218>
x = |2072193,2072226>
x = |2072193,2072227>
x = |2072420,2072456>
x = |2072762,2072782>
x = |21158041,21158078>
x = |21159299,21159336>
x = |21160547,21160584>
x = |21320577,21320600>
x = |21320923,21320943>
x = |21321111,21321145>
x = |21321465,21321488>
x = |21879081,21879116>
x = |21879081,21879119>
x = |21879516,21879551>
x = |21879516,21879554>
x = |21879942,21879977>
x = |21879942,21879980>
x = |2196489,2196512>
x = |2201159,2201182>
x = |2205807,2205830>
x = |23678753,23678778>
x = |23679763,23679788>
x = |23680733,23680758>
x = |23681743,23681768>
x = |23681783,23681817>
x = |23682597,23682622>
x = |23682637,23682670>
x = |24500831,24500866>
x = |2487793,2487828>
x = |2487793,2487831>
x = |2488255,2488290>
x = |2488255,2488293>
x = |2488675,2488710>
x = |2488675,2488713>
x = |2489094,2489129>
x = |2489094,2489132>
x = |25186168,25186191>
x = |25186531,25186559>
x = |25187289,25187311>
x = |25213155,25213190>
x = |25473281,25473304>
x = |25473321,25473344>
x = |25591366,25591398>
x = |26026246,26026273>
x = |26026754,26026781>
x = |26902628,26902654>
x = |26907227,26907253>
x = |26911827,26911853>
x = |26916402,26916428>
