x = |10000347,10000362>
x = |10000733,10000741>
x = |1000094,1000120>
x = |10000947,10000955>
x = |10001478,10001500>
x = |10002219,10002234>
x = |10002605,10002613>
x = |10002819,10002827>
x = |10003350,10003372>
x = |1000438,1000458>
x = |1000523,1000538>
x = |1000523,1000546>
x = |1000549,1000571>
x = |1000553,1000571>
x = |1000698,1000725>
x = |10009873,10009899>
x = |10009873,10009901>
x = |10009893,10009901>
x = |10009922,10009942>
x = |10009922,10009946>
x = |10009933,10009942>
x = |10009933,10009946>
x = |10010050,10010072>
x = |10010091,10010119>
x = |10010107,10010119>
x = |10010280,10010304>
x = |10010299,10010315>
x = |1001050,1001076>
x = |10011227,10011253>
x = |10011227,10011255>
x = |10011247,10011255>
x = |10011276,10011296>
x = |10011276,10011300>
x = |10011287,10011296>
x = |10011287,10011300>
x = |10011404,10011426>
x = |10011445,10011473>
x = |10011461,10011473>
x = |10011634,10011658>
x = |10011653,10011669>
x = |10012975,10012993>
x = |10013267,10013292>
x = |10013468,10013479>
x = |10013801,10013819>
x = |1001394,1001414>
x = |10014082,10014107>
x = |10014283,10014294>
x = |1001479,1001494>
x = |1001479,1001502>
x = |10014829,10014854>
x = |10015030,10015041>
x = |10015439,10015450>
x = |10015777,10015801>
x = |1001617,1001628>
x = |1001617,1001633>
x = |1001622,1001633>
x = |10016697,10016710>
x = |100171,100184>
x = |10017167,10017185>
x = |10017167,10017194>
x = |1001869,1001885>
x = |10018725,10018742>
x = |10018725,10018746>
x = |10018867,10018887>
x = |1001911,1001927>
x = |10019117,10019126>
x = |10019487,10019496>
x = |10020630,10020647>
x = |10020630,10020651>
x = |10020772,10020792>
x = |10021022,10021031>
x = |10021391,10021400>
x = |10022519,10022536>
x = |10022519,10022540>
x = |1002260,1002269>
x = |1002260,1002280>
x = |10022661,10022681>
x = |10022911,10022920>
x = |10023281,10023290>
x = |1002431,1002442>
x = |1002431,1002447>
x = |1002436,1002447>
x = |10024515,10024538>
x = |10025045,10025068>
x = |10026049,10026069>
x = |1002683,1002699>
x = |10026885,10026905>
x = |1002725,1002741>
x = |10027690,10027710>
x = |10028001,10028017>
x = |10028265,10028277>
x = |10028847,10028862>
x = |10028937,10028952>
x = |10029289,10029304>
x = |10029379,10029394>
x = |10030386,10030406>
x = |1003074,1003083>
x = |1003074,1003094>
x = |10031230,10031250>
x = |1003163,1003190>
x = |10033134,10033151>
x = |10033216,10033234>
x = |10033216,10033240>
x = |10033434,10033450>
x = |1003410,1003437>
x = |10034834,10034848>
x = |10035101,10035128>
x = |10035313,10035332>
x = |10035890,10035911>
x = |10036144,10036156>
x = |10037637,10037650>
x = |10038133,10038146>
x = |10038795,10038805>
x = |10039246,10039269>
x = |10039328,10039341>
x = |10039328,10039347>
x = |10040183,10040194>
x = |10040380,10040399>
x = |10041032,10041043>
x = |10041212,10041232>
x = |10041370,10041384>
x = |10041564,10041585>
x = |10041634,10041661>
x = |10041653,10041661>
x = |10041653,10041668>
x = |10041829,10041842>
x = |10041846,10041865>
x = |10042149,10042163>
x = |10042343,10042364>
x = |10042413,10042440>
x = |10042432,10042440>
x = |10042432,10042447>
x = |10042608,10042621>
x = |10042625,10042644>
x = |10043012,10043026>
x = |10043206,10043227>
x = |10043276,10043303>
x = |10043295,10043303>
x = |10043295,10043310>
x = |10043590,10043604>
x = |10043784,10043805>
x = |10043873,10043888>
x = |1004444,1004471>
x = |1004444,1004472>
x = |10044453,10044467>
x = |10044647,10044668>
x = |10044736,10044751>
x = |10045629,10045656>
x = |10046184,10046211>
x = |1004700,1004722>
x = |10047182,10047207>
x = |10047259,10047272>
x = |10047445,10047465>
x = |10048085,10048098>
x = |10048271,10048291>
x = |10048867,10048892>
x = |10048944,10048957>
x = |10049453,10049478>
x = |10049530,10049543>
x = |10050184,10050211>
x = |10051829,10051851>
x = |1005356,1005367>
x = |10054355,10054375>
x = |10055118,10055126>
x = |1005546,1005561>
x = |10056458,10056466>
x = |1006035,1006046>
x = |10062116,10062136>
x = |1006225,1006240>
x = |10062872,10062886>
x = |10063839,10063859>
x = |10064792,10064812>
x = |10065654,10065674>
x = |10066517,10066530>
x = |10066517,10066537>
x = |1006688,1006696>
x = |10067300,10067320>
x = |10067900,10067918>
x = |10068692,10068710>
x = |10069560,10069578>
x = |10070395,10070413>
x = |10071422,10071436>
x = |10071528,10071548>
x = |10072764,10072773>
x = |10072764,10072787>
x = |10072854,10072873>
x = |10073012,10073035>
x = |10073198,10073219>
x = |10073248,10073260>
x = |10073359,10073374>
x = |10073359,10073376>
x = |1007369,1007382>
x = |1007369,1007383>
x = |10074539,10074548>
x = |10074539,10074562>
x = |10074629,10074648>
x = |10074787,10074810>
x = |10074973,10074994>
x = |10075023,10075035>
x = |10075134,10075149>
x = |10075134,10075151>
x = |1007548,1007561>
x = |10076304,10076313>
x = |10076304,10076327>
x = |10076394,10076413>
x = |1007648,1007661>
x = |1007648,1007662>
x = |10076552,10076575>
x = |10076738,10076759>
x = |10076788,10076800>
x = |10076899,10076914>
x = |10076899,10076916>
x = |10078057,10078066>
x = |10078057,10078080>
x = |10078147,10078166>
x = |1007827,1007840>
x = |10078305,10078328>
x = |10078491,10078512>
x = |10078541,10078553>
x = |10078652,10078667>
x = |10078652,10078669>
x = |1007929,1007942>
x = |1007929,1007943>
x = |10079291,10079311>
x = |10079295,10079311>
x = |10079295,10079322>
x = |10079357,10079368>
x = |10079840,10079852>
x = |10079840,10079866>
x = |10080471,10080492>
x = |10080738,10080754>
x = |100808,100829>
x = |10081033,10081042>
x = |1008199,1008212>
x = |1008199,1008213>
x = |100822,100841>
x = |1008483,1008496>
x = |1008483,1008497>
x = |1008727,1008751>
x = |10087510,10087522>
x = |10087556,10087581>
x = |10088129,10088137>
x = |10088129,10088148>
x = |10088138,10088148>
x = |10088164,10088172>
x = |10088164,10088177>
x = |10088164,10088183>
x = |10088978,10088986>
x = |10089170,10089180>
x = |10089181,10089206>
x = |10089847,10089855>
x = |10089847,10089866>
x = |10089856,10089866>
x = |10089882,10089890>
x = |10089882,10089895>
x = |10089882,10089901>
x = |10090696,10090704>
x = |10090888,10090898>
x = |10090899,10090924>
x = |10091565,10091573>
x = |10091565,10091584>
x = |10091574,10091584>
x = |10091600,10091608>
x = |10091600,10091613>
x = |10091600,10091619>
x = |10092414,10092422>
x = |10092606,10092616>
x = |10092617,10092642>
x = |10092935,10092954>
x = |10093630,10093651>
x = |10094713,10094734>
x = |10096546,10096572>
x = |10098395,10098421>
x = |10100243,10100269>
x = |10102093,10102119>
x = |10103939,10103965>
x = |1010456,1010468>
x = |1010456,1010470>
x = |1010462,1010470>
x = |1010567,1010589>
x = |10105786,10105812>
x = |1010579,1010589>
x = |1010647,1010658>
x = |1010647,1010672>
x = |10107613,10107639>
x = |1010820,1010842>
x = |10109441,10109467>
x = |1010952,1010969>
x = |10111264,10111290>
x = |1011196,1011216>
x = |1011227,1011251>
x = |10112634,10112660>
x = |1011306,1011332>
x = |1011338,1011366>
x = |10113973,10113999>
x = |1011457,1011475>
x = |1011457,1011476>
x = |10114626,10114642>
x = |10115082,10115109>
x = |10115235,10115246>
x = |1011554,1011571>
x = |10115636,10115652>
x = |10116092,10116119>
x = |10116245,10116256>
x = |1011664,1011681>
x = |10116642,10116658>
x = |10118132,10118140>
x = |10118956,10118981>
x = |10120221,10120246>
x = |10121446,10121471>
x = |10122671,10122696>
x = |1012280,1012292>
x = |1012280,1012294>
x = |1012286,1012294>
x = |10123867,10123875>
x = |10123867,10123888>
x = |1012391,1012413>
x = |1012403,1012413>
x = |10124165,10124175>
x = |1012471,1012482>
x = |1012471,1012496>
x = |10125304,10125327>
x = |10125446,10125463>
x = |10125541,10125563>
x = |10125557,10125585>
x = |10125773,10125788>
x = |1012644,1012666>
x = |10126656,10126671>
x = |10127538,10127553>
x = |1012776,1012793>
x = |10128402,10128417>
x = |10129318,10129340>
x = |1013020,1013040>
x = |10130302,10130327>
x = |1013051,1013075>
x = |10131276,10131287>
x = |1013130,1013156>
x = |1013162,1013190>
x = |10131736,10131747>
x = |10131736,10131758>
x = |10131759,10131768>
x = |10132443,10132462>
x = |1013281,1013299>
x = |1013281,1013300>
x = |10133366,10133383>
x = |10133559,10133570>
x = |10133559,10133581>
x = |10133582,10133591>
x = |1013378,1013395>
x = |10134266,10134285>
x = |1013488,1013505>
x = |101351,101369>
x = |101351,101376>
x = |10135188,10135205>
x = |10135359,10135370>
x = |10135359,10135381>
