x = |10119193,10119235>
x = |10119193,10119236>
x = |10120458,10120500>
x = |10120458,10120501>
x = |10121683,10121725>
x = |10121683,10121726>
x = |10122908,10122950>
x = |10122908,10122951>
x = |10360260,10360305>
x = |10360459,10360492>
x = |10360737,10360766>
x = |10361225,10361270>
x = |10361344,10361389>
x = |10361543,10361576>
x = |10361821,10361850>
x = |10362309,10362354>
x = |10362428,10362473>
x = |10362627,10362660>
x = |10362905,10362934>
x = |10363393,10363427>
x = |10383664,10383693>
x = |10383664,10383694>
x = |10383664,10383695>
x = |10384158,10384203>
x = |10384276,10384304>
x = |10384276,10384321>
x = |10385170,10385199>
x = |10385170,10385200>
x = |10385170,10385201>
x = |10385664,10385709>
x = |10385782,10385810>
x = |10385782,10385827>
x = |10437870,10437908>
x = |10437958,10438004>
x = |10438465,10438503>
x = |10438553,10438599>
x = |10439036,10439074>
x = |10439124,10439170>
x = |10439576,10439614>
x = |10439664,10439710>
x = |10543206,10543248>
x = |10543317,10543363>
x = |10543318,10543363>
x = |10543346,10543379>
x = |10543402,10543438>
x = |10634418,10634463>
x = |10634955,10635000>
x = |10634955,10635003>
x = |10636022,10636070>
x = |10681504,10681552>
x = |10682451,10682499>
x = |11353669,11353707>
x = |11354236,11354274>
x = |11366057,11366095>
x = |11429133,11429169>
x = |11431767,11431803>
x = |11434401,11434437>
x = |11436858,11436894>
x = |11439494,11439530>
x = |11453199,11453228>
x = |11453226,11453259>
x = |11453226,11453263>
x = |11453282,11453316>
x = |11453440,11453469>
x = |11453660,11453687>
x = |11453660,11453691>
x = |11453714,11453747>
x = |11453714,11453751>
x = |11453714,11453753>
x = |11453714,11453754>
x = |11453829,11453858>
x = |11454137,11454166>
x = |11454192,11454226>
x = |11454266,11454295>
x = |11454321,11454354>
x = |11454349,11454387>
x = |11454349,11454392>
x = |11454445,11454474>
x = |11454732,11454761>
x = |11454759,11454792>
x = |11454759,11454796>
x = |11454815,11454849>
x = |11454973,11455002>
x = |11455193,11455220>
x = |11455193,11455224>
x = |11455247,11455280>
x = |11455247,11455284>
x = |11455247,11455286>
x = |11455247,11455287>
x = |11455362,11455391>
x = |11455670,11455699>
x = |11455725,11455759>
x = |11455799,11455828>
x = |11455854,11455887>
x = |11455882,11455920>
x = |11455882,11455925>
x = |11455978,11456007>
x = |11456265,11456294>
x = |11456292,11456325>
x = |11456292,11456329>
x = |11456348,11456382>
x = |11456506,11456535>
x = |11456726,11456753>
x = |11456726,11456757>
